,filename,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,00-13-953-I-B-user61_openface.csv,0.0,0.98,1.0,0.211354,0.298047,-0.930858,-0.043262,0.299559,-0.953096,0.08900000000000001,0.307,2.1,-68.4,436.3,0.086,0.003,-0.002,0.15,0.0,0.41,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,00-13-953-W-B-user62_openface.csv,5.267,0.98,1.0,0.119599,0.158826,-0.980036,-0.188336,0.091222,-0.977859,-0.035,0.127,16.3,13.1,288.8,-0.107,0.062,0.019,0.0,0.0,0.59,0.0,0.23,1.19,0.0,0.61,0.62,0.71,0.0,0.16,0.37,0.33,0.0,0.0,0.08,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,00-34-288-I-B-user114_openface.csv,8.133,0.98,1.0,0.250471,0.20046,-0.947143,-0.114602,0.245973,-0.962478,0.071,0.23,-15.5,-27.9,379.4,0.018000000000000002,0.014,-0.033,0.0,0.0,0.52,0.07,0.47,1.08,0.0,0.0,0.81,0.42,0.0,0.56,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01-01-49-I-B-user135_openface.csv,43.0,0.98,1.0,-0.018398,0.116539,-0.993016,-0.09215,0.1251,-0.987855,-0.056,0.121,-14.3,21.0,364.8,-0.106,0.062,0.024,0.04,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.13,0.18,0.24,2.27,0.51,0.87,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
4,01-01-49-W-B-user134_openface.csv,1.533,0.98,1.0,-0.081097,0.125457,-0.988779,-0.071162,0.117747,-0.990491,-0.077,0.122,36.5,37.1,404.3,-0.014,0.062,0.016,0.77,0.51,0.73,0.0,0.0,0.0,0.0,0.02,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,01-25-367-I-B-user147_openface.csv,0.267,0.98,1.0,-0.072558,0.001277,-0.997363,-0.195699,-0.006678,-0.980641,-0.135,-0.003,125.4,96.2,606.5,-0.031,0.115,0.015,1.46,0.08,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,01-25-367-W-B-user148_openface.csv,4.667,0.98,1.0,0.13337100000000002,0.273376,-0.952616,-0.027652,0.276863,-0.960511,0.055,0.28,19.1,32.0,389.4,0.09,-0.015,-0.034,0.04,0.0,1.53,0.0,0.34,0.11,0.07,0.0,0.42,0.84,0.03,0.49,0.0,0.0,0.07,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,01-38-934-I-B-user1_openface.csv,0.8,0.98,1.0,0.014997,0.14774,-0.988912,-0.15147,0.179537,-0.97202,-0.069,0.165,-5.5,50.2,306.6,-0.021,0.114,0.016,0.39,0.02,0.65,0.0,0.08,0.0,0.0,0.55,0.37,1.35,0.07,0.45,0.0,0.34,0.31,1.25,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,01-38-934-W-B-user44_openface.csv,7.867000000000001,0.98,1.0,-0.007181999999999998,0.205402,-0.978651,-0.164437,0.191373,-0.967645,-0.08800000000000001,0.201,4.2,21.8,320.1,0.093,0.035,-0.017,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.7,0.69,0.5,0.15,1.32,0.65,1.05,0.09,0.48,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,01-50-492-I-T-user1_openface.csv,0.0,0.98,1.0,0.060399,0.246286,-0.967313,-0.077914,0.271048,-0.959407,-0.009000000000000001,0.262,-2.4,-1.3,408.5,0.098,-0.03,-0.005,0.09,0.0,0.34,0.46,0.05,0.0,0.0,0.0,0.25,2.04,0.0,0.62,0.34,0.87,0.0,0.01,0.36,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
