,filename,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
0,2018-02-17_14-33-35-477-I-T-kingferry_openface.csv,6.332999999999998,0.98,1.0,0.201726,0.202206,-0.958342,0.024584,0.188201,-0.981823,0.116,0.199,-23.0,17.5,491.8,0.075,-0.054000000000000006,-0.031,0.06,0.0,0.26,0.0,1.19,0.89,0.35,0.82,0.65,0.28,0.49,0.12,0.0,0.0,1.73,0.56,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,2018-02-17_14-33-35-477-W-T-dd17_openface.csv,0.0,0.98,1.0,0.286638,0.122921,-0.950121,-0.00418,0.18217,-0.983258,0.145,0.157,-78.2,31.0,438.4,0.014,-0.041,-0.001,1.03,0.86,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.26,0.32,0.01,0.0,0.18,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-02-17_14-45-40-200-I-T-theotherguy_openface.csv,13.4,0.98,1.0,0.0051530000000000005,0.173746,-0.984777,-0.151792,0.155195,-0.976153,-0.075,0.166,16.8,18.3,465.3,-0.05,0.1,-0.031,0.0,0.0,0.73,0.0,0.78,1.6,0.18,0.17,1.18,0.14,0.0,0.72,0.8,0.37,1.41,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,2018-02-17_14-45-40-200-W-T-qmjhl_openface.csv,3.333,0.98,1.0,0.070624,0.113246,-0.991054,-0.034067,0.12034,-0.992148,0.018000000000000002,0.117,-58.4,79.6,410.7,0.07,-0.056,-0.02,0.0,0.0,0.0,0.04,0.43,0.0,0.04,0.51,1.02,0.33,0.0,0.89,0.51,0.0,1.53,0.61,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,2018-02-17_14-58-58-929-I-T-kingferry_openface.csv,10.267,0.98,1.0,0.063572,0.25450300000000003,-0.96498,-0.086253,0.258257,-0.962218,-0.012,0.26,8.2,26.2,389.4,0.063,0.013,-0.01,1.27,0.71,0.02,0.0,1.1,0.74,0.0,0.44,1.25,1.11,0.3,1.02,0.76,0.0,0.0,0.0,0.13,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-02-17_14-58-58-929-W-T-qmjhl_openface.csv,0.2,0.98,1.0,0.112525,0.150669,-0.982159,0.018330000000000003,0.102992,-0.994513,0.066,0.128,-51.7,89.1,360.3,0.1,-0.12,0.032,1.79,0.97,0.0,0.49,0.0,0.0,0.0,0.03,0.0,0.0,0.56,1.1,0.0,0.0,0.0,0.89,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
6,2018-02-17_14-59-22-962-I-B-theotherguy_openface.csv,0.0,0.98,1.0,0.060206,0.075423,-0.995332,0.016765000000000002,0.054851,-0.998354,0.039,0.065,28.5,46.0,367.6,-0.026,0.091,-0.011,1.36,1.6,0.0,1.6,0.56,0.0,0.0,0.0,0.8,0.26,0.38,3.09,2.49,1.44,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
7,2018-02-17_14-59-22-962-W-B-dd17_openface.csv,0.4,0.98,1.0,0.059734,0.14890699999999998,-0.987045,-0.109348,0.211038,-0.971342,-0.025,0.182,-0.4,27.6,358.1,0.059,0.017,0.034,2.12,1.21,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,0.0,0.0,0.42,1.55,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2018-02-17_15-13-33-271-I-B-qmjhl_openface.csv,0.8,0.98,1.0,0.174596,0.117881,-0.977558,0.02068,0.108873,-0.993841,0.099,0.115,-75.8,94.1,471.5,0.099,-0.102,0.009000000000000001,1.75,1.23,0.0,0.86,0.0,0.0,0.0,0.19,0.0,0.0,0.0,1.13,0.0,0.05,0.0,0.13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018-02-17_15-13-33-271-W-B-kingferry_openface.csv,10.067,0.98,1.0,0.312881,0.25511100000000003,-0.91489,-0.083981,0.090205,-0.992376,0.119,0.179,30.4,26.2,384.6,0.013,-0.112,-0.002,0.0,0.0,0.11,0.03,0.91,0.0,0.95,0.55,1.07,1.56,0.69,0.9,0.0,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
