root,interrogator_is_male,witness_is_male,interrogator_believes,describer_job_is_truth
2016-03-11_16-16-40-42,1,0,1,0
2016-03-15_18-15-13-468,1,0,0,1
2016-03-15_21-12-05-243,1,0,1,1
2016-03-16_10-05-49-922,0,1,1,1
2016-06-07_12-20-38-706,1,0,1,1
2016-06-08_13-59-09-521,1,1,1,0
2016-06-08_19-02-40-950,0,1,1,0
2016-06-09_09-05-50-814,1,1,1,1
2016-06-09_09-16-19-112,1,1,1,1
2016-06-09_10-21-37-95,1,0,1,0
2016-06-09_14-57-19-201,1,0,1,0
2016-06-09_19-03-42-701,1,1,1,1
2016-06-10_11-15-58-679,1,1,1,1
2016-06-15_14-19-27-616,0,1,0,0
2016-06-27_10-18-39-581,0,0,1,1
2016-06-27_13-10-48-352,1,0,1,1
2016-06-27_15-39-18-93,1,1,1,1
2016-06-27_16-30-46-620,0,0,1,0
2016-06-27_18-38-55-777,1,1,0,0
2016-06-28_11-01-38-934,1,1,0,0
2016-06-28_14-46-30-695,1,1,1,0
2016-06-28_14-54-10-129,1,0,1,1
2016-06-30_14-03-23-90,1,1,1,1
2016-07-01_11-11-17-124,1,0,0,0
2016-07-01_11-21-24-649,0,1,1,1
2016-07-01_14-09-14-629,0,0,1,0
2016-07-01_14-17-15-163,0,0,0,0
2016-10-31_14-31-23-340,1,1,1,1
2016-10-31_14-50-50-13,1,1,0,0
2016-10-31_14-57-52-839,1,1,0,0
2016-11-02_09-00-13-953,1,0,0,0
2016-11-02_09-12-07-438,0,1,0,0
2016-11-07_16-04-30-467,1,1,1,1
2016-11-07_16-31-08-51,1,1,1,1
2016-11-16_15-02-44-269,1,1,0,0
2016-11-16_15-09-44-142,0,0,1,1
2016-11-16_15-16-14-317,0,0,1,0
2016-11-16_15-22-35-549,0,0,1,0
2016-11-16_15-28-45-33,0,0,1,1
2016-11-17_15-04-57-574,0,0,0,1
2016-11-17_15-13-20-248,1,0,0,0
2016-11-17_15-30-42-250,1,0,1,0
2016-11-17_15-37-36-401,0,1,0,0
2016-12-09_15-31-59-194,1,0,0,0
2016-12-15_11-16-56-369,1,1,1,1
2016-12-15_11-24-43-478,0,1,0,1
2016-12-15_11-33-07-644,1,0,0,1
2017-01-07_11-22-41-332,0,1,1,0
2017-01-09_17-06-50-611,1,1,0,1
2017-01-12_19-38-26-565,1,1,1,0
2017-01-13_10-05-15-634,1,1,1,1
2017-01-13_10-15-21-96,1,1,1,1
2017-01-15_11-58-28-695,1,0,1,1
2017-01-19_21-44-30-30,1,1,0,0
2017-01-23_14-11-22-452,1,0,0,0
2017-01-23_14-22-31-901,0,0,1,1
2017-01-23_14-36-37-921,1,0,1,0
2017-01-23_14-51-16-907,0,1,0,0
2017-01-24_13-14-08-252,1,0,1,1
2017-01-24_13-24-30-926,0,1,1,0
2017-01-24_13-30-57-338,0,1,0,1
2017-01-24_13-39-49-946,1,0,1,1
2017-01-25_14-06-44-152,1,1,1,0
2017-01-25_14-27-37-757,1,1,1,0
2017-01-26_14-16-48-797,0,0,1,1
2017-01-26_14-26-15-622,0,0,0,0
2017-01-26_14-38-29-906,1,1,1,1
2017-01-26_14-47-20-540,1,1,1,0
2017-01-27_14-09-18-253,1,0,0,0
2017-01-27_14-20-31-480,1,1,0,0
2017-01-27_14-28-32-985,1,0,1,1
2017-01-27_14-36-04-870,1,1,1,0
2017-01-30_14-02-09-31,0,0,0,1
2017-01-30_14-09-32-917,0,0,1,1
2017-01-31_14-11-22-778,1,1,1,0
2017-02-01_14-12-23-235,1,0,1,0
2017-02-01_14-20-40-167,1,0,0,0
2017-02-02_14-03-12-820,0,1,0,0
2017-02-03_14-17-10-481,1,1,1,0
2017-02-03_14-27-51-501,0,1,1,0
2017-02-03_14-36-53-693,0,1,1,1
2017-02-06_14-13-11-507,1,0,1,0
2017-02-06_14-21-16-706,1,0,1,1
2017-02-08_14-04-01-129,1,0,1,0
2017-02-09_14-06-18-285,1,0,0,0
2017-02-09_14-14-04-955,0,1,1,0
2017-02-10_14-05-44-437,0,1,1,1
2017-02-10_14-15-29-238,1,0,1,1
2017-02-13_14-11-59-155,1,0,1,1
2017-02-13_14-22-05-764,1,0,1,1
2017-02-13_14-33-47-982,1,1,0,0
2017-02-16_14-12-40-292,1,1,0,1
2017-02-16_14-19-04-926,0,0,1,0
2017-03-03_11-20-05-755,0,0,0,0
2017-03-03_11-35-42-851,1,0,1,1
2017-03-03_12-14-45-849,0,0,1,0
2017-03-03_12-22-10-468,1,0,1,0
2017-03-03_12-29-48-550,0,1,0,1
2017-03-03_12-37-32-755,1,0,1,1
2017-03-03_13-12-03-237,0,1,1,1
2017-03-03_13-20-28-731,0,1,0,0
2017-03-03_13-30-40-756,1,0,0,1
2017-03-08_12-08-33-112,1,1,1,0
2017-03-08_13-12-38-74,1,1,1,0
2017-03-08_13-24-24-724,0,0,0,1
2017-03-24_10-48-39-430,0,0,0,1
2017-03-24_11-44-02-309,1,0,0,0
2017-03-24_11-50-29-214,1,0,1,1
2017-03-24_11-56-40-959,1,0,0,0
2017-03-24_12-40-18-142,1,0,0,1
2017-03-24_12-48-00-366,0,1,1,1
2017-03-29_12-14-08-617,1,0,1,1
2017-03-29_13-29-09-99,1,1,0,1
2017-04-04_13-18-48-414,0,0,1,1
2017-04-04_13-27-35-915,1,0,1,1
2017-04-04_13-58-57-956,0,1,0,0
2017-04-07_12-41-41-762,1,1,0,1
2017-04-07_12-48-02-966,1,1,0,0
2017-04-07_13-01-25-367,1,1,1,0
2017-04-07_13-07-53-382,1,1,1,1
2017-04-12_13-00-34-288,0,1,1,0
2017-04-12_13-09-02-798,0,1,1,1
2017-04-12_13-15-00-532,0,1,1,0
2017-04-12_13-21-03-94,0,1,0,1
2017-04-12_14-02-20-877,1,0,0,0
2017-04-12_14-11-09-515,1,0,1,1
2017-04-12_14-18-12-410,1,0,0,0
2017-04-12_14-28-52-283,1,0,1,0
2017-04-12_14-40-07-485,1,0,1,1
2017-04-13_11-03-47-890,1,1,1,1
2017-04-13_11-13-01-549,1,1,1,1
2017-04-13_13-19-35-145,1,0,1,0
2017-04-13_13-26-17-966,1,0,1,1
2017-04-13_14-03-12-253,1,1,1,1
2017-04-13_14-12-24-294,1,0,1,0
2017-04-14_14-02-28-29,1,1,1,0
2017-04-14_14-11-44-333,1,1,0,0
2017-04-14_14-18-43-166,1,1,0,0
2017-04-14_15-05-06-501,1,1,1,1
2017-04-14_15-11-45-95,1,1,0,0
2017-04-14_15-19-05-68,1,1,1,1
2017-04-14_15-57-43-236,1,1,0,1
2017-04-14_16-04-38-645,1,1,1,1
2017-04-14_16-11-26-504,1,1,0,0
