,coordinate,weight
0,x_0,0.0
1,y_0,0.0
2,x_1,0.0
3,y_1,0.0
4,x_2,0.0
5,y_2,0.0
6,x_3,0.0
7,y_3,0.0
8,x_4,0.0
9,y_4,0.0
10,x_5,0.0
11,y_5,-0.0
12,x_6,0.0
13,y_6,-0.0
14,x_7,0.0
15,y_7,-0.0
16,x_8,-0.0
17,y_8,-0.0
18,x_9,-0.0
19,y_9,-0.0
20,x_10,-0.0
21,y_10,-0.0
22,x_11,-0.0
23,y_11,-0.0
24,x_12,-0.0
25,y_12,0.0
26,x_13,-0.0
27,y_13,0.0
28,x_14,0.0
29,y_14,0.0
30,x_15,0.0
31,y_15,0.0
32,x_16,0.0
33,y_16,0.9730582207652677
34,x_17,0.0
35,y_17,-2.8700281228973537
36,x_18,0.0
37,y_18,-0.0
38,x_19,0.0
39,y_19,-0.0
40,x_20,-0.0
41,y_20,-0.0
42,x_21,-0.9669962678243353
43,y_21,-0.0
44,x_22,0.43304054172989437
45,y_22,-0.0
46,x_23,0.0
47,y_23,-0.0
48,x_24,-0.0
49,y_24,-0.0
50,x_25,-0.0
51,y_25,-0.0
52,x_26,-0.0
53,y_26,-2.0600247652691293
54,x_27,0.0
55,y_27,-0.26611226668802307
56,x_28,0.0
57,y_28,-0.0
58,x_29,-0.0
59,y_29,-0.0
60,x_30,-0.0
61,y_30,-0.0
62,x_31,1.6279607536970522
63,y_31,0.20953173451038146
64,x_32,0.0
65,y_32,0.0
66,x_33,0.0
67,y_33,0.0
68,x_34,-0.0
69,y_34,1.6027851278964973
70,x_35,-1.0586972674857524
71,y_35,0.0
72,x_36,-0.0
73,y_36,-0.0
74,x_37,-0.0
75,y_37,-0.5228222451884215
76,x_38,-0.1366621696623303
77,y_38,-0.0
78,x_39,0.0
79,y_39,0.5286051212271312
80,x_40,-0.0
81,y_40,-0.0
82,x_41,-0.0
83,y_41,-0.0
84,x_42,0.0
85,y_42,1.5680562041925203
86,x_43,0.2975069397160553
87,y_43,-0.16267359863860567
88,x_44,0.14171684929781497
89,y_44,-0.49051629238467503
90,x_45,0.0
91,y_45,0.0
92,x_46,0.0
93,y_46,-0.0
94,x_47,0.27645139616124814
95,y_47,-0.0
96,x_48,-0.0
97,y_48,-0.0
98,x_49,-0.0
99,y_49,-0.0
100,x_50,0.0
101,y_50,-0.11753952486293086
102,x_51,-0.0
103,y_51,-0.0
104,x_52,-0.0
105,y_52,-0.9056275102975738
106,x_53,0.0
107,y_53,-1.2379521853388795
108,x_54,0.0
109,y_54,-0.0
110,x_55,0.0
111,y_55,0.0
112,x_56,-0.0
113,y_56,0.0
114,x_57,-0.0
115,y_57,0.0
116,x_58,0.007270579634758355
117,y_58,0.0
118,x_59,-0.0
119,y_59,0.0
120,x_60,-0.0
121,y_60,-0.4638266957405297
122,x_61,0.035910562759634744
123,y_61,0.8218421662310399
124,x_62,-0.024592467922185897
125,y_62,0.0
126,x_63,-0.46860600955122433
127,y_63,0.0
128,x_64,0.0
129,y_64,-0.10723030881435183
130,x_65,-0.006050836316799802
131,y_65,1.6052314689001437
132,x_66,-0.0
133,y_66,0.0
134,x_67,0.0
135,y_67,0.0
