,coordinate,weight
0,y_0,0.0
1,y_1,0.0
2,y_2,0.0
3,y_3,0.0
4,y_4,0.0
5,y_5,-0.0
6,y_6,-0.0
7,y_7,-0.0
8,y_8,-0.0
9,y_9,-0.0
10,y_10,-0.0
11,y_11,-0.0
12,y_12,0.0
13,y_13,0.0
14,y_14,0.0
15,y_15,0.0
16,y_16,0.9730582207652677
17,y_17,-2.8700281228973537
18,y_18,-0.0
19,y_19,-0.0
20,y_20,-0.0
21,y_21,-0.0
22,y_22,-0.0
23,y_23,-0.0
24,y_24,-0.0
25,y_25,-0.0
26,y_26,-2.0600247652691293
27,y_27,-0.26611226668802307
28,y_28,-0.0
29,y_29,-0.0
30,y_30,-0.0
31,y_31,0.20953173451038146
32,y_32,0.0
33,y_33,0.0
34,y_34,1.6027851278964973
35,y_35,0.0
36,y_36,-0.0
37,y_37,-0.5228222451884215
38,y_38,-0.0
39,y_39,0.5286051212271312
40,y_40,-0.0
41,y_41,-0.0
42,y_42,1.5680562041925203
43,y_43,-0.16267359863860567
44,y_44,-0.49051629238467503
45,y_45,0.0
46,y_46,-0.0
47,y_47,-0.0
48,y_48,-0.0
49,y_49,-0.0
50,y_50,-0.11753952486293086
51,y_51,-0.0
52,y_52,-0.9056275102975738
53,y_53,-1.2379521853388795
54,y_54,-0.0
55,y_55,0.0
56,y_56,0.0
57,y_57,0.0
58,y_58,0.0
59,y_59,0.0
60,y_60,-0.4638266957405297
61,y_61,0.8218421662310399
62,y_62,0.0
63,y_63,0.0
64,y_64,-0.10723030881435183
65,y_65,1.6052314689001437
66,y_66,0.0
67,y_67,0.0
