,Image_filename,Input.image_url,Answer.Gender,Answer.Rating,Answer.RaterGender,True.Gender,True.Gender.str
0,18_0_0_20170110232054251.jpg.chip,http://snapdocket.com/fast2/18_0_0_20170110232054251.jpg.chip.jpg,0.0,1.2,0.6,0.0,Male
1,18_0_0_20170110232121048.jpg.chip,http://snapdocket.com/fast2/18_0_0_20170110232121048.jpg.chip.jpg,0.0,1.6,0.4,0.0,Male
2,18_0_0_20170110232624418.jpg.chip,http://snapdocket.com/fast2/18_0_0_20170110232624418.jpg.chip.jpg,0.0,3.0,0.6666666666666666,0.0,Male
3,18_0_0_20170117140132816.jpg.chip,http://snapdocket.com/fast2/18_0_0_20170117140132816.jpg.chip.jpg,0.0,1.5,0.5,0.0,Male
4,18_0_1_20170113132626633.jpg.chip,http://snapdocket.com/fast2/18_0_1_20170113132626633.jpg.chip.jpg,0.0,0.75,0.25,0.0,Male
5,18_1_0_20170109213130477.jpg.chip,http://snapdocket.com/fast2/18_1_0_20170109213130477.jpg.chip.jpg,1.0,5.25,0.5,1.0,Female
6,18_1_0_20170109213550274.jpg.chip,http://snapdocket.com/fast2/18_1_0_20170109213550274.jpg.chip.jpg,1.0,3.0,0.3333333333333333,1.0,Female
7,18_1_0_20170109214120554.jpg.chip,http://snapdocket.com/fast2/18_1_0_20170109214120554.jpg.chip.jpg,1.0,5.0,0.25,1.0,Female
8,18_1_0_20170117140340105.jpg.chip,http://snapdocket.com/fast2/18_1_0_20170117140340105.jpg.chip.jpg,1.0,5.0,0.5,1.0,Female
9,18_1_0_20170117140440920.jpg.chip,http://snapdocket.com/fast2/18_1_0_20170117140440920.jpg.chip.jpg,1.0,5.75,0.25,1.0,Female
10,18_1_0_20170117140751537.jpg.chip,http://snapdocket.com/fast2/18_1_0_20170117140751537.jpg.chip.jpg,0.0,2.5,0.5,1.0,Female
11,18_1_2_20170104020841204.jpg.chip,http://snapdocket.com/fast2/18_1_2_20170104020841204.jpg.chip.jpg,1.0,5.25,0.75,1.0,Female
12,18_1_3_20170119155644533.jpg.chip,http://snapdocket.com/fast2/18_1_3_20170119155644533.jpg.chip.jpg,1.0,5.25,0.0,1.0,Female
13,18_1_4_20170109212430115.jpg.chip,http://snapdocket.com/fast2/18_1_4_20170109212430115.jpg.chip.jpg,1.0,5.666666666666667,0.6666666666666666,1.0,Female
14,19_0_0_20170117185159337.jpg.chip,http://snapdocket.com/fast2/19_0_0_20170117185159337.jpg.chip.jpg,0.0,1.5,1.0,0.0,Male
15,19_1_0_20170103201450359.jpg.chip,http://snapdocket.com/fast2/19_1_0_20170103201450359.jpg.chip.jpg,1.0,5.0,0.0,1.0,Female
16,19_1_0_20170103201503695.jpg.chip,http://snapdocket.com/fast2/19_1_0_20170103201503695.jpg.chip.jpg,1.0,4.2,0.6,1.0,Female
17,19_1_0_20170103201755639.jpg.chip,http://snapdocket.com/fast2/19_1_0_20170103201755639.jpg.chip.jpg,1.0,4.25,0.0,1.0,Female
18,19_1_0_20170105183441000.jpg.chip,http://snapdocket.com/fast2/19_1_0_20170105183441000.jpg.chip.jpg,1.0,5.0,0.6,1.0,Female
19,19_1_4_20170103201653879.jpg.chip,http://snapdocket.com/fast2/19_1_4_20170103201653879.jpg.chip.jpg,1.0,3.5,0.5,1.0,Female
20,20_0_0_20170104230025073.jpg.chip,http://snapdocket.com/fast2/20_0_0_20170104230025073.jpg.chip.jpg,0.0,2.5,0.75,0.0,Male
21,20_0_0_20170113132332102.jpg.chip,http://snapdocket.com/fast2/20_0_0_20170113132332102.jpg.chip.jpg,0.0,1.3333333333333333,0.6666666666666666,0.0,Male
22,20_0_0_20170117003449983.jpg.chip,http://snapdocket.com/fast2/20_0_0_20170117003449983.jpg.chip.jpg,0.0,3.3333333333333335,0.0,0.0,Male
23,20_0_0_20170117140705537.jpg.chip,http://snapdocket.com/fast2/20_0_0_20170117140705537.jpg.chip.jpg,0.0,2.8,0.2,0.0,Male
24,20_0_1_20170112191235269.jpg.chip,http://snapdocket.com/fast2/20_0_1_20170112191235269.jpg.chip.jpg,1.0,5.333333333333333,0.3333333333333333,0.0,Male
25,20_0_1_20170113133046720.jpg.chip,http://snapdocket.com/fast2/20_0_1_20170113133046720.jpg.chip.jpg,0.0,2.3333333333333335,0.6666666666666666,0.0,Male
